alpha,accuracy_pct,flops_ratio
0.001,79.0573,0.2746770375974491
0.01,79.5159,0.2771904921135793
0.1,83.0828,0.3113177375694267
0.2,85.9618,0.3740579641491366
0.3,87.9745,0.46244067801854455
0.4,88.9936,0.5667567044935085
0.5,89.6051,0.6724921721478694
0.6,89.9108,0.7824828878034297
0.7,89.9108,0.8790252514350699
0.8,90.0127,0.9434263984081998
0.9,89.5796,0.9891960113366631
